Year;race_ethnicity;date;milestone
1947;White;1947;Jackie Robinson                                         
1947;White;1947;Jackie Robinson                                         
1947;White;1947;Jackie Robinson                                         
1947;White;1947;Jackie Robinson                                         
1947;White;1947;Jackie Robinson                                         
1947;White;1947;Jackie Robinson                                         
1947;White;1947;Jackie Robinson                                         
1947;White;1947;Jackie Robinson                                         
1947;White;1947;Jackie Robinson                                         
1947;White;1947;Jackie Robinson                                         
1947;White;1947;Jackie Robinson                                         
1947;White;1947;Jackie Robinson                                         
1947;White;1947;Jackie Robinson                                         
1947;White;1947;Jackie Robinson                                         
1947;White;1947;Jackie Robinson                                         
1948;White;;
1948;White;;
1948;White;;
1948;White;;
1948;White;;
1948;White;;
1948;White;;
1948;Hispa;;
1948;White;;
1948;White;;
1948;White;;
1948;White;;
1948;White;;
1948;White;;
1948;White;;
1948;White;;
1948;White;;
1948;White;;
1948;White;;
1948;White;;
1948;White;;
1948;White;;
1948;White;;
1948;White;;
1948;White;;
1949;White;;
1949;White;;
1949;White;;
1949;White;;
1949;White;;
1949;White;;
1949;White;;
1949;White;;
1949;White;;
1949;White;;
1949;White;;
1949;White;;
1949;White;;
1949;White;;
1949;White;;
1949;White;;
1949;White;;
1949;White;;
1949;Black;;
1949;White;;
1949;White;;
1949;White;;
1949;White;;
1949;White;;
1949;White;;
1950;White;;
1950;Hispa;;
1950;White;;
1950;White;;
1950;White;;
1950;White;;
1950;White;;
1950;White;;
1950;White;;
1950;White;;
1950;White;;
1950;White;;
1950;White;;
1950;White;;
1950;White;;
1950;White;;
1950;White;;
1950;White;;
1950;White;;
1950;White;;
1950;White;;
1950;White;;
1950;White;;
1950;White;;
1950;White;;
1951;White;;
1951;White;;
1951;White;;
1951;White;;
1951;White;;
1951;White;;
1951;White;;
1951;White;;
1951;White;;
1951;White;;
1951;White;;
1951;White;;
1951;White;;
1951;White;;
1951;White;;
1951;White;;
1951;White;;
1951;White;;
1951;White;;
1951;White;;
1951;White;;
1951;White;;
1951;White;;
1951;White;;
1951;White;;
1952;White;;
1952;White;;
1952;Hispa;;
1952;White;;
1952;White;;
1952;Hispa;;
1952;White;;
1952;White;;
1952;White;;
1952;White;;
1952;White;;
1952;White;;
1952;White;;
1952;White;;
1952;White;;
1952;White;;
1952;White;;
1952;White;;
1952;White;;
1952;White;;
1952;White;;
1952;White;;
1952;White;;
1952;White;;
1952;White;;
1953;White;;
1953;White;;
1953;White;;
1953;White;;
1953;White;;
1953;White;;
1953;White;;
1953;White;;
1953;White;;
1953;White;;
1953;White;;
1953;White;;
1953;White;;
1953;White;;
1953;White;;
1953;White;;
1953;White;;
1953;White;;
1953;White;;
1953;White;;
1953;White;;
1953;White;;
1953;White;;
1953;White;;
1953;White;;
