Year;Award;Winner;Name;Ethnicity
1954;Directing                   ;;Alfred Hitchcock                                          ;White
1954;Directing                   ;;Billy Wilder                                              ;White
1954;Directing                   ;1;Elia Kazan                                                ;White
1954;Directing                   ;;George Seaton                                             ;White
1954;Directing                   ;;William Wellman                                           ;White
1955;Directing                   ;;David Lean                                                ;White
1955;Directing                   ;1;Delbert Mann                                              ;White
1955;Directing                   ;;Elia Kazan                                                ;White
1955;Directing                   ;;John Sturges                                              ;White
1955;Directing                   ;;Joshua Logan                                              ;White
1956;Directing                   ;1;George Stevens                                            ;White
1956;Directing                   ;;King Vidor                                                ;White
1956;Directing                   ;;Michael Anderson                                          ;White
1956;Directing                   ;;Walter Lang                                               ;White
1956;Directing                   ;;William Wyler                                             ;White
1957;Directing                   ;;Billy Wilder                                              ;White
1957;Directing                   ;1;David Lean                                                ;White
1957;Directing                   ;;Joshua Logan                                              ;White
1957;Directing                   ;;Mark Robson                                               ;White
1957;Directing                   ;;Sidney Lumet                                              ;White
1958;Directing                   ;;Mark Robson                                               ;White
1958;Directing                   ;;Richard Brooks                                            ;White
1958;Directing                   ;;Robert Wise                                               ;White
1958;Directing                   ;;Stanley Kramer                                            ;White
1958;Directing                   ;1;Vincente Minnelli                                         ;White
1959;Directing                   ;;Billy Wilder                                              ;White
1959;Directing                   ;;Fred Zinnemann                                            ;White
1959;Directing                   ;;George Stevens                                            ;White
1959;Directing                   ;;Jack Clayton                                              ;White
1959;Directing                   ;1;William Wyler                                             ;White
1960;Directing                   ;;Alfred Hitchcock                                          ;White
1960;Directing                   ;1;Billy Wilder                                              ;White
1960;Directing                   ;;Fred Zinnemann                                            ;White
1960;Directing                   ;;Jack Cardiff                                              ;White
1960;Directing                   ;;Jules Dassin                                              ;White
1961;Directing                   ;;Federico Fellini                                          ;White
1961;Directing                   ;;J. Lee Thompson                                           ;White
1961;Directing                   ;1;Jerome Robbins                                            ;White
1961;Directing                   ;;Robert Rossen                                             ;White
1961;Directing                   ;1;Robert Wise                                               ;White
1961;Directing                   ;;Stanley Kramer                                            ;White
1962;Directing                   ;;Arthur Penn                                               ;White
1962;Directing                   ;1;David Lean                                                ;White
1962;Directing                   ;;Frank Perry                                               ;White
1962;Directing                   ;;Pietro Germi                                              ;White
1962;Directing                   ;;Robert Mulligan                                           ;White
1963;Directing                   ;;Elia Kazan                                                ;White
1963;Directing                   ;;Federico Fellini                                          ;White
1963;Directing                   ;;Martin Ritt                                               ;White
1963;Directing                   ;;Otto Preminger                                            ;White
1963;Directing                   ;1;Tony Richardson                                           ;White
1964;Directing                   ;1;George Cukor                                              ;White
1964;Directing                   ;;Michael Cacoyannis                                        ;White
1964;Directing                   ;;Peter Glenville                                           ;White
1964;Directing                   ;;Robert Stevenson                                          ;White
1964;Directing                   ;;Stanley Kubrick                                           ;White
1965;Directing                   ;;David Lean                                                ;White
1965;Directing                   ;;Hiroshi Teshigahara                                       ;Asian
1965;Directing                   ;;John Schlesinger                                          ;White
1965;Directing                   ;1;Robert Wise                                               ;White
1965;Directing                   ;;William Wyler                                             ;White
1966;Directing                   ;;Claude Lelouch                                            ;White
1966;Directing                   ;1;Fred Zinnemann                                            ;White
1966;Directing                   ;;Michelangelo Antonioni                                    ;White
1966;Directing                   ;;Mike Nichols                                              ;White
1966;Directing                   ;;Richard Brooks                                            ;White
1967;Directing                   ;;Arthur Penn                                               ;White
1967;Directing                   ;1;Mike Nichols                                              ;White
1967;Directing                   ;;Norman Jewison                                            ;White
1967;Directing                   ;;Richard Brooks                                            ;White
1967;Directing                   ;;Stanley Kramer                                            ;White
1968;Directing                   ;;Anthony Harvey                                            ;White
1968;Directing                   ;1;Carol Reed                                                ;White
1968;Directing                   ;;Franco Zeffirelli                                         ;White
1968;Directing                   ;;Gillo Pontecorvo                                          ;White
1968;Directing                   ;;Stanley Kubrick                                           ;White
1969;Directing                   ;;Arthur Penn                                               ;White
1969;Directing                   ;;Costa-Gavras                                              ;White
1969;Directing                   ;;George Roy Hill                                           ;White
1969;Directing                   ;1;John Schlesinger                                          ;White
1969;Directing                   ;;Sydney Pollack                                            ;White
1970;Directing                   ;;Arthur Hiller                                             ;White
1970;Directing                   ;;Federico Fellini                                          ;White
1970;Directing                   ;1;Franklin J. Schaffner                                     ;White
1970;Directing                   ;;Ken Russell                                               ;White
1970;Directing                   ;1;Robert Altman                                             ;White
1971;Directing                   ;;John Schlesinger                                          ;White
1971;Directing                   ;;Norman Jewison                                            ;White
1971;Directing                   ;;Peter Bogdanovich                                         ;White
1971;Directing                   ;;Stanley Kubrick                                           ;White
1971;Directing                   ;1;William Friedkin                                          ;White
1972;Directing                   ;1;Bob Fosse                                                 ;White
1972;Directing                   ;;Francis Ford Coppola                                      ;White
1972;Directing                   ;;Jan Troell                                                ;White
1972;Directing                   ;;John Boorman                                              ;White
1972;Directing                   ;;Joseph L. Mankiewicz                                      ;White
1973;Directing                   ;;Bernardo Bertolucci                                       ;White
1973;Directing                   ;;George Lucas                                              ;White
1973;Directing                   ;1;George Roy Hill                                           ;White
1973;Directing                   ;;Ingmar Bergman                                            ;White
1973;Directing                   ;;William Friedkin                                          ;White
1974;Directing                   ;;Bob Fosse                                                 ;White
1974;Directing                   ;1;Francis Ford Coppola                                      ;White
1974;Directing                   ;;Francois Truffaut                                         ;White
1974;Directing                   ;;John Cassavetes                                           ;White
1974;Directing                   ;;Roman Polanski                                            ;White
1975;Directing                   ;;Federico Fellini                                          ;White
1975;Directing                   ;1;Milos Forman                                              ;White
1975;Directing                   ;;Robert Altman                                             ;White
1975;Directing                   ;;Sidney Lumet                                              ;White
1975;Directing                   ;;Stanley Kubrick                                           ;White
1976;Directing                   ;;Alan J. Pakula                                            ;White
1976;Directing                   ;;Ingmar Bergman                                            ;White
1976;Directing                   ;1;John G. Avildsen                                          ;White
1976;Directing                   ;;Lina Wertmüller                                          ;White
1976;Directing                   ;;Sidney Lumet                                              ;White
1977;Directing                   ;;Fred Zinnemann                                            ;White
1977;Directing                   ;;George Lucas                                              ;White
1977;Directing                   ;;Herbert Ross                                              ;White
1977;Directing                   ;;Steven Spielberg                                          ;White
1977;Directing                   ;1;Woody Allen                                               ;White
1978;Directing                   ;;Alan Parker                                               ;White
1978;Directing                   ;;Buck Henry                                                ;White
1978;Directing                   ;;Hal Ashby                                                 ;White
1978;Directing                   ;1;Michael Cimino                                            ;White
1978;Directing                   ;;Warren Beatty                                             ;White
1978;Directing                   ;;Woody Allen                                               ;White
1979;Directing                   ;;Bob Fosse                                                 ;White
1979;Directing                   ;;Edouard Molinaro                                          ;White
1979;Directing                   ;;Francis Ford Coppola                                      ;White
1979;Directing                   ;;Peter Yates                                               ;White
1979;Directing                   ;1;Robert Benton                                             ;White
1980;Directing                   ;;David Lynch                                               ;White
1980;Directing                   ;;Martin Scorsese                                           ;White
1980;Directing                   ;;Richard Rush                                              ;White
1980;Directing                   ;1;Robert Redford                                            ;White
1980;Directing                   ;;Roman Polanski                                            ;White
1981;Directing                   ;;Hugh Hudson                                               ;White
1981;Directing                   ;;Louis Malle                                               ;White
1981;Directing                   ;;Mark Rydell                                               ;White
1981;Directing                   ;;Steven Spielberg                                          ;White
1981;Directing                   ;1;Warren Beatty                                             ;White
1982;Directing                   ;1;Richard Attenborough                                     W;
1982;Directing                   ;;Sidney Lumet                                              ;White
1982;Directing                   ;;Steven Spielberg                                          ;White
1982;Directing                   ;;Sydney Pollack                                            ;White
1982;Directing                   ;;Wolfgang Petersen                         w               ;White
1983;Directing                   ;;Bruce Beresford                                           ;White
1983;Directing                   ;;Ingmar Bergman                                            ;White
1983;Directing                   ;1;James L. Brooks                                           ;White
1983;Directing                   ;;Mike Nichols                                              ;White
1983;Directing                   ;;Peter Yates                                               ;White
1984;Directing                   ;;David Lean                                                ;White
1984;Directing                   ;1;Milos Forman                                              ;White
1984;Directing                   ;;Robert Benton                                             ;White
1984;Directing                   ;;Roland Joffé                                             ;White
1984;Directing                   ;;Woody Allen                                               ;White
1985;Directing                   ;;Akira Kurosawa                                            ;Asian
1985;Directing                   ;;Hector Babenco                                            ;Hispa
1985;Directing                   ;;John Huston                                               ;White
1985;Directing                   ;;Peter Weir                                                ;White
1985;Directing                   ;1;Sydney Pollack                                            ;White
1986;Directing                   ;;David Lynch                                               ;White
1986;Directing                   ;;James Ivory                                               ;White
1986;Directing                   ;1;Oliver Stone                                              ;White
1986;Directing                   ;;Roland Joffé                                             ;White
1986;Directing                   ;;Woody Allen                                               ;White
1987;Directing                   ;;Adrian Lyne                                               ;White
1987;Directing                   ;1;Bernardo Bertolucci                                       ;White
1987;Directing                   ;;John Boorman                                              ;White
1987;Directing                   ;;Lasse Hallström                                          ;White
1987;Directing                   ;;Norman Jewison                                            ;White
1988;Directing                   ;;Alan Parker                                               ;White
1988;Directing                   ;1;Barry Levinson                                            ;White
1988;Directing                   ;;Charles Crichton                                          ;White
1988;Directing                   ;;Martin Scorsese                                           ;White
1988;Directing                   ;;Mike Nichols                                              ;White
1989;Directing                   ;;Jim Sheridan                                              ;White
1989;Directing                   ;;Kenneth Branagh                                           ;White
1989;Directing                   ;1;Oliver Stone                                              ;White
1989;Directing                   ;;Peter Weir                                                ;White
1989;Directing                   ;;Woody Allen                                               ;White
1990;Directing                   ;;Barbet Schroeder                                          ;Arab 
1990;Directing                   ;;Francis Ford Coppola                                      ;White
1990;Directing                   ;1;Kevin Costner                                             ;White
1990;Directing                   ;;Martin Scorsese                                           ;White
1990;Directing                   ;;Stephen Frears                                            ;White
1991;Directing                   ;;Barry Levinson                                            ;White
1991;Directing                   ;;John Singleton                                            ;Black
1991;Directing                   ;1;Jonathan Demme                                            ;White
1991;Directing                   ;;Oliver Stone                                              ;White
1991;Directing                   ;;Ridley Scott                                              ;White
1992;Directing                   ;1;Clint Eastwood                                            ;White
1992;Directing                   ;;James Ivory                                               ;White
1992;Directing                   ;;Martin Brest                                              ;White
1992;Directing                   ;;Neil Jordan                                               ;Irish
1992;Directing                   ;;Robert Altman                                             ;White
1993;Directing                   ;;James Ivory                                               ;White
1993;Directing                   ;;Jane Campion                                              ;White
1993;Directing                   ;;Jim Sheridan                                              ;White
1993;Directing                   ;;Robert Altman                                             ;White
1993;Directing                   ;1;Steven Spielberg                                          ;White
1994;Directing                   ;;Krzysztof Kieslowski                                      ;White
1994;Directing                   ;;Quentin Tarantino                                         ;White
1994;Directing                   ;;Robert Redford                                            ;White
1994;Directing                   ;1;Robert Zemeckis                                           ;White
1994;Directing                   ;;Woody Allen                                               ;White
1995;Directing                   ;;Chris Noonan                                              ;White
1995;Directing                   ;1;Mel Gibson                                                ;White
1995;Directing                   ;;Michael Radford                                           ;White
1995;Directing                   ;;Mike Figgis                                               ;White
1995;Directing                   ;;Tim Robbins                                               ;White
1996;Directing                   ;1;Anthony Minghella                                         ;White
1996;Directing                   ;;Joel Coen                                                 ;White
1996;Directing                   ;;Mike Leigh                                                ;White
1996;Directing                   ;;Milos Forman                                              ;White
1996;Directing                   ;;Scott Hicks                                               ;White
1997;Directing                   ;;Atom Egoyan                                               ;Arab 
1997;Directing                   ;;Curtis Hanson                                             ;White
1997;Directing                   ;;Gus Van Sant                                              ;White
1997;Directing                   ;1;James Cameron                                             ;White
1997;Directing                   ;;Peter Cattaneo                                            ;White
1998;Directing                   ;;John Madden                                               ;White
1998;Directing                   ;;Peter Weir                                                ;White
1998;Directing                   ;;Roberto Benigni                                           ;White
1998;Directing                   ;1;Steven Spielberg                                          ;White
1998;Directing                   ;;Terrence Malick                                           ;White
1999;Directing                   ;;Lasse Hallström                                          ;White
1999;Directing                   ;;M. Night Shyamalan                                        ;Indo 
1999;Directing                   ;;Michael Mann                                              ;White
1999;Directing                   ;1;Sam Mendes                                                ;White
1999;Directing                   ;;Spike Jonze                                               ;White
2000;Directing                   ;;Ang Lee                                                   ;Asian
2000;Directing                   ;;Ridley Scott                                              ;White
2000;Directing                   ;;Stephen Daldry                                            ;White
2000;Directing                   ;;Steven Soderbergh                                         ;White
2000;Directing                   ;1;Steven Soderbergh                                         ;White
2001;Directing                   ;;David Lynch                                               ;White
2001;Directing                   ;;Peter Jackson                                             ;White
2001;Directing                   ;;Ridley Scott                                              ;White
2001;Directing                   ;;Robert Altman                                             ;White
2001;Directing                   ;1;Ron Howard                                                ;White
2002;Directing                   ;;Martin Scorsese                                           ;White
2002;Directing                   ;;Pedro Almodóvar                                          ;White
2002;Directing                   ;;Rob Marshall                                              ;White
2002;Directing                   ;1;Roman Polanski                                            ;White
2002;Directing                   ;;Stephen Daldry                                            ;White
2003;Directing                   ;;Clint Eastwood                                            ;White
2003;Directing                   ;;Fernando Meirelles                                        ;White
2003;Directing                   ;1;Peter Jackson                                             ;White
2003;Directing                   ;;Peter Weir                                                ;White
2003;Directing                   ;;Sofia Coppola                                             ;White
2004;Directing                   ;;Alexander Payne                                           ;White
2004;Directing                   ;1;Clint Eastwood                                            ;White
2004;Directing                   ;;Martin Scorsese                                           ;White
2004;Directing                   ;;Mike Leigh                                                ;White
2004;Directing                   ;;Taylor Hackford                                           ;White
2005;Directing                   ;1;Ang Lee                                                   ;Asian
2005;Directing                   ;;Bennett Miller                                            ;White
2005;Directing                   ;;George Clooney                                            ;White
2005;Directing                   ;;Paul Haggis                                               ;White
2005;Directing                   ;;Steven Spielberg                                          ;White
2006;Directing                   ;;Alejandro González Iñárritu                            ;White
2006;Directing                   ;;Clint Eastwood                                            ;White
2006;Directing                   ;1;Martin Scorsese                                           ;White
2006;Directing                   ;;Paul Greengrass                                           ;White
2006;Directing                   ;;Stephen Frears                                            ;White
2007;Directing                   ;;Jason Reitman                                             ;White
2007;Directing                   ;1;Joel Coen and Ethan Coen                                  ;White
2007;Directing                   ;;Julian Schnabel                                           ;White
2007;Directing                   ;;Paul Thomas Anderson                                      ;White
2007;Directing                   ;;Tony Gilroy                                               ;White
2008;Directing                   ;1;Danny Boyle                                               ;White
2008;Directing                   ;;David Fincher                                             ;White
2008;Directing                   ;;Gus Van Sant                                              ;White
2008;Directing                   ;;Ron Howard                                                ;White
2008;Directing                   ;;Stephen Daldry                                            ;White
2009;Directing                   ;;James Cameron                                             ;White
2009;Directing                   ;;Jason Reitman                                             ;White
2009;Directing                   ;1;Kathryn Bigelow                                           ;White
2009;Directing                   ;;Lee Daniels                                               ;Black
2009;Directing                   ;;Quentin Tarantino                                         ;White
2010;Directing                   ;;Darren Aronofsky                                          ;White
2010;Directing                   ;;David Fincher                                             ;White
2010;Directing                   ;;David O. Russell                                          ;White
2010;Directing                   ;;Joel Coen and Ethan Coen                                  ;White
2010;Directing                   ;1;Tom Hooper                                                ;White
2011;Directing                   ;;Alexander Payne                                           ;White
2011;Directing                   ;;Martin Scorsese                                           ;White
2011;Directing                   ;1;Michel Hazanavicius                                       ;White
2011;Directing                   ;;Terrence Malick                                           ;White
2011;Directing                   ;;Woody Allen                                               ;White
2012;Directing                   ;1;Ang Lee                                                   ;Asian
2012;Directing                   ;;Benh Zeitlin                                              ;White
2012;Directing                   ;;David O. Russell                                          ;White
2012;Directing                   ;;Michael Haneke                                            ;White
2012;Directing                   ;;Steven Spielberg                                          ;White
2013;Directing                   ;;Alexander Payne                                           ;White
2013;Directing                   ;1;Alfonso Cuarón                                           ;White
2013;Directing                   ;;David O. Russell                                          ;White
2013;Directing                   ;;Martin Scorsese                                           ;White
2013;Directing                   ;;Steve McQueen                                             ;White
2014;Directing                   ;1;Alejandro G. Iñárritu                                   ;White
2014;Directing                   ;;Bennett Miller                                            ;White
2014;Directing                   ;;Morten Tyldum                                             ;White
2014;Directing                   ;;Richard Linklater                                         ;White
2014;Directing                   ;;Wes Anderson                                              ;White
2015;Directing                   ;;Adam McKay                                                ;White
2015;Directing                   ;1;Alejandro G. Iñárritu                                   ;White
2015;Directing                   ;;George Miller                                             ;White
2015;Directing                   ;;Lenny Abrahamson                                          ;Irish
2015;Directing                   ;;Tom McCarthy                                              ;White
