Year;Award;Name;race_ethnicity
1937;Actor in a Supporting Role  ;Joseph Schildkraut             ;White
1937;Actor in a Supporting Role  ;Ralph Bellamy                  ;White
1937;Actor in a Supporting Role  ;Roland Young                   ;White
1937;Actor in a Supporting Role  ;Thomas Mitchell                ;White
1937;Actress                     ;Barbara Stanwyck               ;White
1937;Actress                     ;Greta Garbo                    ;White
1937;Actress                     ;Irene Dunne                    ;White
1937;Actress                     ;Janet Gaynor                   ;White
1937;Actress                     ;Luise Rainer                   ;White
1937;Actress in a Supporting Role;Alice Brady                    ;White
1937;Actress in a Supporting Role;Andrea Leeds                   ;White
1937;Actress in a Supporting Role;Anne Shirley                   ;White
1937;Actress in a Supporting Role;Claire Trevor                  ;White
1937;Actress in a Supporting Role;Dame May Whitty                ;White
1937;Directing                   ;Gregory La Cava                ;White
1937;Directing                   ;Leo McCarey                    ;White
1937;Directing                   ;Sidney Franklin                ;White
1937;Directing                   ;William Dieterle               ;White
1937;Directing                   ;William Wellman                ;White
1938;Actor                       ;Charles Boyer                  ;White
1938;Actor                       ;James Cagney                   ;White
1938;Actor                       ;Leslie Howard                  ;White
1938;Actor                       ;Robert Donat                   ;White
1938;Actor                       ;Spencer Tracy                  ;White
1938;Actor in a Supporting Role  ;Basil Rathbone                 ;White
1938;Actor in a Supporting Role  ;Gene Lockhart                  ;White
1938;Actor in a Supporting Role  ;John Garfield                  ;White
1938;Actor in a Supporting Role  ;Robert Morley                  ;White
1938;Actor in a Supporting Role  ;Walter Brennan                 ;White
1938;Actress                     ;Bette Davis                    ;White
1938;Actress                     ;Fay Bainter                    ;White
1938;Actress                     ;Margaret Sullavan              ;White
1938;Actress                     ;Norma Shearer                  ;White
1938;Actress                     ;Wendy Hiller                   ;White
1938;Actress in a Supporting Role;Beulah Bondi                   ;White
1938;Actress in a Supporting Role;Billie Burke                   ;White
1938;Actress in a Supporting Role;Fay Bainter                    ;White
1938;Actress in a Supporting Role;Miliza Korjus                  ;White
1938;Actress in a Supporting Role;Spring Byington                ;White
1938;Directing                   ;Frank Capra                    ;White
1938;Directing                   ;King Vidor                     ;White
1938;Directing                   ;Michael Curtiz                 ;White
1938;Directing                   ;Michael Curtiz                 ;White
1938;Directing                   ;Norman Taurog                  ;White
1939;Actor                       ;Clark Gable                    ;White
1939;Actor                       ;James Stewart                  ;White
1939;Actor                       ;Laurence Olivier               ;White
1939;Actor                       ;Mickey Rooney                  ;White
1939;Actor                       ;Robert Donat                   ;White
1939;Actor in a Supporting Role  ;Brian Aherne                   ;White
1939;Actor in a Supporting Role  ;Brian Donlevy                  ;White
1939;Actor in a Supporting Role  ;Claude Rains                   ;White
1939;Actor in a Supporting Role  ;Harry Carey                    ;White
1939;Actor in a Supporting Role  ;Thomas Mitchell                ;White
1939;Actress                     ;Bette Davis                    ;White
1939;Actress                     ;Greer Garson                   ;White
1939;Actress                     ;Greta Garbo                    ;White
1939;Actress                     ;Irene Dunne                    ;White
1939;Actress                     ;Vivien Leigh                   ;White
1939;Actress in a Supporting Role;Edna May Oliver                ;White
1939;Actress in a Supporting Role;Geraldine Fitzgerald           ;White
1939;Actress in a Supporting Role;Hattie McDaniel                ;Black
1939;Actress in a Supporting Role;Maria Ouspenskaya              ;White
1939;Actress in a Supporting Role;Olivia de Havilland            ;White
1939;Directing                   ;Frank Capra                    ;White
1939;Directing                   ;John Ford                      ;White
1939;Directing                   ;Sam Wood                       ;White
1939;Directing                   ;Victor Fleming                 ;White
1939;Directing                   ;William Wyler                  ;White
1940;Actor                       ;Charles Chaplin                ;White
1940;Actor                       ;Henry Fonda                    ;White
1940;Actor                       ;James Stewart                  ;White
1940;Actor                       ;Laurence Olivier               ;White
1940;Actor                       ;Raymond Massey                 ;White
1940;Actor in a Supporting Role  ;Albert Basserman               ;White
1940;Actor in a Supporting Role  ;Jack Oakie                     ;White
1940;Actor in a Supporting Role  ;James Stephenson               ;White
1940;Actor in a Supporting Role  ;Walter Brennan                 ;White
1940;Actor in a Supporting Role  ;William Gargan                 ;White
1940;Actress                     ;Bette Davis                    ;White
1940;Actress                     ;Ginger Rogers                  ;White
1940;Actress                     ;Joan Fontaine                  ;White
1940;Actress                     ;Katharine Hepburn              ;White
1940;Actress                     ;Martha Scott                   ;White
1940;Actress in a Supporting Role;Barbara O'Neil                 ;White
1940;Actress in a Supporting Role;Jane Darwell                   ;White
1940;Actress in a Supporting Role;Judith Anderson                ;White
1940;Actress in a Supporting Role;Marjorie Rambeau               ;White
1940;Actress in a Supporting Role;Ruth Hussey                    ;White
1940;Directing                   ;Alfred Hitchcock               ;White
1940;Directing                   ;George Cukor                   ;White
1940;Directing                   ;John Ford                      ;White
1940;Directing                   ;Sam Wood                       ;White
1940;Directing                   ;William Wyler                  ;White
1941;Actor                       ;Cary Grant                     ;White
1941;Actor                       ;Gary Cooper                    ;White
1941;Actor                       ;Orson Welles                   ;White
1941;Actor                       ;Robert Montgomery              ;White
1941;Actor                       ;Walter Huston                  ;White
1941;Actor in a Supporting Role  ;Charles Coburn                 ;White
1941;Actor in a Supporting Role  ;Donald Crisp                   ;White
1941;Actor in a Supporting Role  ;James Gleason                  ;White
1941;Actor in a Supporting Role  ;Sydney Greenstreet             ;White
1941;Actor in a Supporting Role  ;Walter Brennan                 ;White
1941;Actress                     ;Barbara Stanwyck               ;White
1941;Actress                     ;Bette Davis                    ;White
1941;Actress                     ;Greer Garson                   ;White
1941;Actress                     ;Joan Fontaine                  ;White
1941;Actress                     ;Olivia de Havilland            ;White
1941;Actress in a Supporting Role;Margaret Wycherly              ;White
1941;Actress in a Supporting Role;Mary Astor                     ;White
1941;Actress in a Supporting Role;Patricia Collinge              ;White
1941;Actress in a Supporting Role;Sara Allgood                   ;White
1941;Actress in a Supporting Role;Teresa Wright                  ;White
1941;Directing                   ;Alexander Hall                 ;White
1941;Directing                   ;Howard Hawks                   ;White
1941;Directing                   ;John Ford                      ;White
1941;Directing                   ;Orson Welles                   ;White
1941;Directing                   ;William Wyler                  ;White
1942;Actor                       ;Gary Cooper                    ;White
1942;Actor                       ;James Cagney                   ;White
1942;Actor                       ;Monty Woolley                  ;White
1942;Actor                       ;Ronald Colman                  ;White
1942;Actor                       ;Walter Pidgeon                 ;White
1942;Actor in a Supporting Role  ;Frank Morgan                   ;White
1942;Actor in a Supporting Role  ;Henry Travers                  ;White
1942;Actor in a Supporting Role  ;Van Heflin                     ;White
1942;Actor in a Supporting Role  ;Walter Huston                  ;White
1942;Actor in a Supporting Role  ;William Bendix                 ;White
1942;Actress                     ;Bette Davis                    ;White
1942;Actress                     ;Greer Garson                   ;White
1942;Actress                     ;Katharine Hepburn              ;White
1942;Actress                     ;Rosalind Russell               ;White
1942;Actress                     ;Teresa Wright                  ;White
1942;Actress in a Supporting Role;Agnes Moorehead                ;White
1942;Actress in a Supporting Role;Dame May Whitty                ;White
1942;Actress in a Supporting Role;Gladys Cooper                  ;White
1942;Actress in a Supporting Role;Susan Peters                   ;White
1942;Actress in a Supporting Role;Teresa Wright                  ;White
1942;Directing                   ;John Farrow                    ;White
1942;Directing                   ;Mervyn LeRoy                   ;White
1942;Directing                   ;Michael Curtiz                 ;White
1942;Directing                   ;Sam Wood                       ;White
1942;Directing                   ;William Wyler                  ;White
1943;Actor                       ;Gary Cooper                    ;White
1943;Actor                       ;Humphrey Bogart                ;White
1943;Actor                       ;Mickey Rooney                  ;White
1943;Actor                       ;Paul Lukas                     ;White
1943;Actor                       ;Walter Pidgeon                 ;White
1943;Actor in a Supporting Role  ;Akim Tamiroff                  ;White
1943;Actor in a Supporting Role  ;Charles Bickford               ;White
1943;Actor in a Supporting Role  ;Charles Coburn                 ;White
1943;Actor in a Supporting Role  ;Claude Rains                   ;White
1943;Actor in a Supporting Role  ;J. Carrol Naish                ;White
1943;Actress                     ;Greer Garson                   ;White
1943;Actress                     ;Ingrid Bergman                 ;White
1943;Actress                     ;Jean Arthur                    ;White
1943;Actress                     ;Jennifer Jones                 ;White
1943;Actress                     ;Joan Fontaine                  ;White
1943;Actress in a Supporting Role;Anne Revere                    ;White
1943;Actress in a Supporting Role;Gladys Cooper                  ;White
1943;Actress in a Supporting Role;Katina Paxinou                 ;White
1943;Actress in a Supporting Role;Lucile Watson                  ;White
1943;Actress in a Supporting Role;Paulette Goddard               ;White
1943;Directing                   ;Clarence Brown                 ;White
1943;Directing                   ;Ernst Lubitsch                 ;White
1943;Directing                   ;George Stevens                 ;White
1943;Directing                   ;Henry King                     ;White
1943;Directing                   ;Michael Curtiz                 ;White
1944;Actor                       ;Alexander Knox                 ;White
1944;Actor                       ;Barry Fitzgerald               ;White
1944;Actor                       ;Bing Crosby                    ;White
1944;Actor                       ;Cary Grant                     ;White
1944;Actor                       ;Charles Boyer                  ;White
1944;Actor in a Supporting Role  ;Barry Fitzgerald               ;White
1944;Actor in a Supporting Role  ;Claude Rains                   ;White
1944;Actor in a Supporting Role  ;Clifton Webb                   ;White
1944;Actor in a Supporting Role  ;Hume Cronyn                    ;White
1944;Actor in a Supporting Role  ;Monty Woolley                  ;White
1944;Actress                     ;Barbara Stanwyck               ;White
1944;Actress                     ;Bette Davis                    ;White
1944;Actress                     ;Claudette Colbert              ;White
1944;Actress                     ;Greer Garson                   ;White
1944;Actress                     ;Ingrid Bergman                 ;White
1944;Actress in a Supporting Role;Agnes Moorehead                ;White
1944;Actress in a Supporting Role;Aline MacMahon                 ;White
1944;Actress in a Supporting Role;Angela Lansbury                ;White
1944;Actress in a Supporting Role;Ethel Barrymore                ;White
1944;Actress in a Supporting Role;Jennifer Jones                 ;White
1944;Directing                   ;Alfred Hitchcock               ;White
1944;Directing                   ;Billy Wilder                   ;White
1944;Directing                   ;Henry King                     ;White
1944;Directing                   ;Leo McCarey                    ;White
1944;Directing                   ;Otto Preminger                 ;White
1945;Actor                       ;Bing Crosby                    ;White
1945;Actor                       ;Cornel Wilde                   ;White
1945;Actor                       ;Gene Kelly                     ;White
1945;Actor                       ;Gregory Peck                   ;White
1945;Actor                       ;Ray Milland                    ;White
1945;Actor in a Supporting Role  ;J. Carrol Naish                ;White
1945;Actor in a Supporting Role  ;James Dunn                     ;White
1945;Actor in a Supporting Role  ;John Dall                      ;White
1945;Actor in a Supporting Role  ;Michael Chekhov                ;White
1945;Actor in a Supporting Role  ;Robert Mitchum                 ;White
1945;Actress                     ;Gene Tierney                   ;White
1945;Actress                     ;Greer Garson                   ;White
1945;Actress                     ;Ingrid Bergman                 ;White
1945;Actress                     ;Jennifer Jones                 ;White
1945;Actress                     ;Joan Crawford                  ;White
1945;Actress in a Supporting Role;Angela Lansbury                ;White
1945;Actress in a Supporting Role;Ann Blyth                      ;White
1945;Actress in a Supporting Role;Anne Revere                    ;White
1945;Actress in a Supporting Role;Eve Arden                      ;White
1945;Actress in a Supporting Role;Joan Lorring                   ;White
1945;Directing                   ;Alfred Hitchcock               ;White
1945;Directing                   ;Billy Wilder                   ;White
1945;Directing                   ;Clarence Brown                 ;White
1945;Directing                   ;Jean Renoir                    ;White
1945;Directing                   ;Leo McCarey                    ;White
1946;Actor                       ;Fredric March                  ;White
