Year;Award;Name;race_ethnicity
1954;Actor                       ;Marlon Brando                  ;White
1954;Actor in a Supporting Role  ;Edmond O'Brien                 ;White
1954;Actor in a Supporting Role  ;Karl Malden                    ;White
1954;Actor in a Supporting Role  ;Lee J. Cobb                    ;White
1954;Actor in a Supporting Role  ;Rod Steiger                    ;White
1954;Actor in a Supporting Role  ;Tom Tully                      ;White
1954;Actress                     ;Audrey Hepburn                 ;White
1954;Actress                     ;Dorothy Dandridge              ;Black
1954;Actress                     ;Grace Kelly                    ;White
1954;Actress                     ;Jane Wyman                     ;White
1954;Actress                     ;Judy Garland                   ;White
1954;Actress in a Supporting Role;Claire Trevor                  ;White
1954;Actress in a Supporting Role;Eva Marie Saint                ;White
1954;Actress in a Supporting Role;Jan Sterling                   ;White
1954;Actress in a Supporting Role;Katy Jurado                    ;Hispa
1954;Actress in a Supporting Role;Nina Foch                      ;White
1954;Directing                   ;Alfred Hitchcock               ;White
1954;Directing                   ;Billy Wilder                   ;White
1954;Directing                   ;Elia Kazan                     ;White
1954;Directing                   ;George Seaton                  ;White
1954;Directing                   ;William Wellman                ;White
1955;Actor                       ;Ernest Borgnine                ;White
1955;Actor                       ;Frank Sinatra                  ;White
1955;Actor                       ;James Cagney                   ;White
1955;Actor                       ;James Dean                     ;White
1955;Actor                       ;Spencer Tracy                  ;White
1955;Actor in a Supporting Role  ;Arthur Kennedy                 ;White
1955;Actor in a Supporting Role  ;Arthur O'Connell               ;White
1955;Actor in a Supporting Role  ;Jack Lemmon                    ;White
1955;Actor in a Supporting Role  ;Joe Mantell                    ;White
1955;Actor in a Supporting Role  ;Sal Mineo                      ;White
1955;Actress                     ;Anna Magnani                   ;White
1955;Actress                     ;Eleanor Parker                 ;White
1955;Actress                     ;Jennifer Jones                 ;White
1955;Actress                     ;Katharine Hepburn              ;White
1955;Actress                     ;Susan Hayward                  ;White
1955;Actress in a Supporting Role;Betsy Blair                    ;White
1955;Actress in a Supporting Role;Jo Van Fleet                   ;White
1955;Actress in a Supporting Role;Marisa Pavan                   ;White
1955;Actress in a Supporting Role;Natalie Wood                   ;White
1955;Actress in a Supporting Role;Peggy Lee                      ;White
1955;Directing                   ;David Lean                     ;White
1955;Directing                   ;Delbert Mann                   ;White
1955;Directing                   ;Elia Kazan                     ;White
1955;Directing                   ;John Sturges                   ;White
1955;Directing                   ;Joshua Logan                   ;White
1956;Actor                       ;James Dean                     ;White
1956;Actor                       ;Kirk Douglas                   ;White
1956;Actor                       ;Rock Hudson                    ;White
1956;Actor                       ;Sir Laurence Olivier           ;White
1956;Actor                       ;Yul Brynner                    ;White
1956;Actor in a Supporting Role  ;Anthony Perkins                ;White
1956;Actor in a Supporting Role  ;Anthony Quinn                  ;Hispa
1956;Actor in a Supporting Role  ;Don Murray                     ;White
1956;Actor in a Supporting Role  ;Mickey Rooney                  ;White
1956;Actor in a Supporting Role  ;Robert Stack                   ;White
1956;Actress                     ;Carroll Baker                  ;White
1956;Actress                     ;Deborah Kerr                   ;White
1956;Actress                     ;Ingrid Bergman                 ;White
1956;Actress                     ;Katharine Hepburn              ;White
1956;Actress                     ;Nancy Kelly                    ;White
1956;Actress in a Supporting Role;Dorothy Malone                 ;White
1956;Actress in a Supporting Role;Eileen Heckart                 ;White
1956;Actress in a Supporting Role;Mercedes McCambridge           ;White
1956;Actress in a Supporting Role;Mildred Dunnock                ;White
1956;Actress in a Supporting Role;Patty McCormack                ;White
1956;Directing                   ;George Stevens                 ;White
1956;Directing                   ;King Vidor                     ;White
1956;Directing                   ;Michael Anderson               ;White
1956;Directing                   ;Walter Lang                    ;White
1956;Directing                   ;William Wyler                  ;White
1957;Actor                       ;Alec Guinness                  ;White
1957;Actor                       ;Anthony Franciosa              ;White
1957;Actor                       ;Anthony Quinn                  ;Hispa
1957;Actor                       ;Charles Laughton               ;White
1957;Actor                       ;Marlon Brando                  ;White
1957;Actor in a Supporting Role  ;Arthur Kennedy                 ;White
1957;Actor in a Supporting Role  ;Red Buttons                    ;White
1957;Actor in a Supporting Role  ;Russ Tamblyn                   ;White
1957;Actor in a Supporting Role  ;Sessue Hayakawa                ;Asian
1957;Actor in a Supporting Role  ;Vittorio De Sica               ;White
1957;Actress                     ;Anna Magnani                   ;White
1957;Actress                     ;Deborah Kerr                   ;White
1957;Actress                     ;Elizabeth Taylor               ;White
1957;Actress                     ;Joanne Woodward                ;White
1957;Actress                     ;Lana Turner                    ;White
1957;Actress in a Supporting Role;Carolyn Jones                  ;White
1957;Actress in a Supporting Role;Diane Varsi                    ;White
1957;Actress in a Supporting Role;Elsa Lanchester                ;White
1957;Actress in a Supporting Role;Hope Lange                     ;White
1957;Actress in a Supporting Role;Miyoshi Umeki                  ;Asian
1957;Directing                   ;Billy Wilder                   ;White
1957;Directing                   ;David Lean                     ;White
1957;Directing                   ;Joshua Logan                   ;White
1957;Directing                   ;Mark Robson                    ;White
1957;Directing                   ;Sidney Lumet                   ;White
1958;Actor                       ;David Niven                    ;White
1958;Actor                       ;Paul Newman                    ;White
1958;Actor                       ;Sidney Poitier                 ;Black
1958;Actor                       ;Spencer Tracy                  ;White
1958;Actor                       ;Tony Curtis                    ;White
1958;Actor in a Supporting Role  ;Arthur Kennedy                 ;White
1958;Actor in a Supporting Role  ;Burl Ives                      ;White
1958;Actor in a Supporting Role  ;Gig Young                      ;White
1958;Actor in a Supporting Role  ;Lee J. Cobb                    ;White
1958;Actor in a Supporting Role  ;Theodore Bikel                 ;White
1958;Actress                     ;Deborah Kerr                   ;White
1958;Actress                     ;Elizabeth Taylor               ;White
1958;Actress                     ;Rosalind Russell               ;White
1958;Actress                     ;Shirley MacLaine               ;White
1958;Actress                     ;Susan Hayward                  ;White
1958;Actress in a Supporting Role;Cara Williams                  ;White
1958;Actress in a Supporting Role;Martha Hyer                    ;White
1958;Actress in a Supporting Role;Maureen Stapleton              ;White
1958;Actress in a Supporting Role;Peggy Cass                     ;White
1958;Actress in a Supporting Role;Wendy Hiller                   ;White
1958;Directing                   ;Mark Robson                    ;White
1958;Directing                   ;Richard Brooks                 ;White
1958;Directing                   ;Robert Wise                    ;White
1958;Directing                   ;Stanley Kramer                 ;White
1958;Directing                   ;Vincente Minnelli              ;White
1959;Actor                       ;Charlton Heston                ;White
1959;Actor                       ;Jack Lemmon                    ;White
1959;Actor                       ;James Stewart                  ;White
1959;Actor                       ;Laurence Harvey                ;White
1959;Actor                       ;Paul Muni                      ;White
1959;Actor in a Supporting Role  ;Arthur O'Connell               ;White
1959;Actor in a Supporting Role  ;Ed Wynn                        ;White
1959;Actor in a Supporting Role  ;George C. Scott                ;White
1959;Actor in a Supporting Role  ;Hugh Griffith                  ;White
1959;Actor in a Supporting Role  ;Robert Vaughn                  ;White
1959;Actress                     ;Audrey Hepburn                 ;White
1959;Actress                     ;Doris Day                      ;White
1959;Actress                     ;Elizabeth Taylor               ;White
1959;Actress                     ;Katharine Hepburn              ;White
1959;Actress                     ;Simone Signoret                ;White
1959;Actress in a Supporting Role;Hermione Baddeley              ;White
1959;Actress in a Supporting Role;Juanita Moore                  ;Black
1959;Actress in a Supporting Role;Shelley Winters                ;White
1959;Actress in a Supporting Role;Susan Kohner                   ;White
1959;Actress in a Supporting Role;Thelma Ritter                  ;White
1959;Directing                   ;Billy Wilder                   ;White
1959;Directing                   ;Fred Zinnemann                 ;White
1959;Directing                   ;George Stevens                 ;White
1959;Directing                   ;Jack Clayton                   ;White
1959;Directing                   ;William Wyler                  ;White
1960;Actor                       ;Burt Lancaster                 ;White
1960;Actor                       ;Jack Lemmon                    ;White
1960;Actor                       ;Laurence Olivier               ;White
1960;Actor                       ;Spencer Tracy                  ;White
1960;Actor                       ;Trevor Howard                  ;White
1960;Actor in a Supporting Role  ;Chill Wills                    ;White
1960;Actor in a Supporting Role  ;Jack Kruschen                  ;White
1960;Actor in a Supporting Role  ;Peter Falk                     ;White
1960;Actor in a Supporting Role  ;Peter Ustinov                  ;White
1960;Actor in a Supporting Role  ;Sal Mineo                      ;White
1960;Actress                     ;Deborah Kerr                   ;White
1960;Actress                     ;Elizabeth Taylor               ;White
1960;Actress                     ;Greer Garson                   ;White
1960;Actress                     ;Melina Mercouri                ;White
1960;Actress                     ;Shirley MacLaine               ;White
1960;Actress in a Supporting Role;Glynis Johns                   ;White
1960;Actress in a Supporting Role;Janet Leigh                    ;White
1960;Actress in a Supporting Role;Mary Ure                       ;White
1960;Actress in a Supporting Role;Shirley Jones                  ;White
1960;Actress in a Supporting Role;Shirley Knight                 ;White
1960;Directing                   ;Alfred Hitchcock               ;White
1960;Directing                   ;Billy Wilder                   ;White
1960;Directing                   ;Fred Zinnemann                 ;White
1960;Directing                   ;Jack Cardiff                   ;White
1960;Directing                   ;Jules Dassin                   ;White
1961;Actor                       ;Charles Boyer                  ;White
1961;Actor                       ;Maximilian Schell              ;White
1961;Actor                       ;Paul Newman                    ;White
1961;Actor                       ;Spencer Tracy                  ;White
1961;Actor                       ;Stuart Whitman                 ;White
1961;Actor in a Supporting Role  ;George C. Scott                ;White
1961;Actor in a Supporting Role  ;George Chakiris                ;White
1961;Actor in a Supporting Role  ;Jackie Gleason                 ;White
1961;Actor in a Supporting Role  ;Montgomery Clift               ;White
1961;Actor in a Supporting Role  ;Peter Falk                     ;White
1961;Actress                     ;Audrey Hepburn                 ;White
1961;Actress                     ;Geraldine Page                 ;White
1961;Actress                     ;Natalie Wood                   ;White
1961;Actress                     ;Piper Laurie                   ;White
1961;Actress                     ;Sophia Loren                   ;White
1961;Actress in a Supporting Role;Fay Bainter                    ;White
1961;Actress in a Supporting Role;Judy Garland                   ;White
1961;Actress in a Supporting Role;Lotte Lenya                    ;White
1961;Actress in a Supporting Role;Rita Moreno                    ;Hispa
1961;Actress in a Supporting Role;Una Merkel                     ;White
1961;Directing                   ;Federico Fellini               ;White
1961;Directing                   ;J. Lee Thompson                ;White
1961;Directing                   ;Jerome Robbins                 ;White
1961;Directing                   ;Robert Rossen                  ;White
1961;Directing                   ;Robert Wise                    ;White
1961;Directing                   ;Stanley Kramer                 ;White
1962;Actor                       ;Burt Lancaster                 ;White
1962;Actor                       ;Gregory Peck                   ;White
1962;Actor                       ;Jack Lemmon                    ;White
1962;Actor                       ;Marcello Mastroianni           ;White
1962;Actor                       ;Peter O'Toole                  ;White
1962;Actor in a Supporting Role  ;Ed Begley                      ;White
1962;Actor in a Supporting Role  ;Omar Sharif                    ;Arab 
1962;Actor in a Supporting Role  ;Telly Savalas                  ;White
1962;Actor in a Supporting Role  ;Terence Stamp                  ;White
1962;Actor in a Supporting Role  ;Victor Buono                   ;White
1962;Actress                     ;Anne Bancroft                  ;White
1962;Actress                     ;Bette Davis                    ;White
1962;Actress                     ;Geraldine Page                 ;White
1962;Actress                     ;Katharine Hepburn              ;White
1962;Actress                     ;Lee Remick                     ;White
1962;Actress in a Supporting Role;Angela Lansbury                ;White
1962;Actress in a Supporting Role;Mary Badham                    ;White
1962;Actress in a Supporting Role;Patty Duke                     ;White
1962;Actress in a Supporting Role;Shirley Knight                 ;White
1962;Actress in a Supporting Role;Thelma Ritter                  ;White
1962;Directing                   ;Arthur Penn                    ;White
1962;Directing                   ;David Lean                     ;White
1962;Directing                   ;Frank Perry                    ;White
1962;Directing                   ;Pietro Germi                   ;White
1962;Directing                   ;Robert Mulligan                ;White
1963;Actor                       ;Albert Finney                  ;White
1963;Actor                       ;Paul Newman                    ;White
1963;Actor                       ;Rex Harrison                   ;White
1963;Actor                       ;Richard Harris                 ;White
1963;Actor                       ;Sidney Poitier                 ;Black
1963;Actor in a Supporting Role  ;Bobby Darin                    ;White
1963;Actor in a Supporting Role  ;Hugh Griffith                  ;White
1963;Actor in a Supporting Role  ;John Huston                    ;White
1963;Actor in a Supporting Role  ;Melvyn Douglas                 ;White
1963;Actor in a Supporting Role  ;Nick Adams                     ;White
1963;Actress                     ;Leslie Caron                   ;White
1963;Actress                     ;Natalie Wood                   ;White
1963;Actress                     ;Patricia Neal                  ;White
1963;Actress                     ;Rachel Roberts                 ;White
1963;Actress                     ;Shirley MacLaine               ;White
1963;Actress in a Supporting Role;Dame Edith Evans               ;White
1963;Actress in a Supporting Role;Diane Cilento                  ;White
1963;Actress in a Supporting Role;Joyce Redman                   ;White
1963;Actress in a Supporting Role;Lilia Skala                    ;White
1963;Actress in a Supporting Role;Margaret Rutherford            ;White
1963;Directing                   ;Elia Kazan                     ;White
1963;Directing                   ;Federico Fellini               ;White
1963;Directing                   ;Martin Ritt                    ;White
1963;Directing                   ;Otto Preminger                 ;White
1963;Directing                   ;Tony Richardson                ;White
1964;Actor                       ;Anthony Quinn                  ;Hispa
1964;Actor                       ;Peter O'Toole                  ;White
1964;Actor                       ;Peter Sellers                  ;White
1964;Actor                       ;Rex Harrison                   ;White
1964;Actor                       ;Richard Burton                 ;White
1964;Actor in a Supporting Role  ;Edmond O'Brien                 ;White
1964;Actor in a Supporting Role  ;John Gielgud                   ;White
1964;Actor in a Supporting Role  ;Lee Tracy                      ;White
1964;Actor in a Supporting Role  ;Peter Ustinov                  ;White
1964;Actor in a Supporting Role  ;Stanley Holloway               ;White
1964;Actress                     ;Anne Bancroft                  ;White
1964;Actress                     ;Debbie Reynolds                ;White
1964;Actress                     ;Julie Andrews                  ;White
1964;Actress                     ;Kim Stanley                    ;White
1964;Actress                     ;Sophia Loren                   ;White
1964;Actress in a Supporting Role;Agnes Moorehead                ;White
1964;Actress in a Supporting Role;Dame Edith Evans               ;White
1964;Actress in a Supporting Role;Gladys Cooper                  ;White
1964;Actress in a Supporting Role;Grayson Hall                   ;White
1964;Actress in a Supporting Role;Lila Kedrova                   ;White
1964;Directing                   ;George Cukor                   ;White
1964;Directing                   ;Michael Cacoyannis             ;White
1964;Directing                   ;Peter Glenville                ;White
1964;Directing                   ;Robert Stevenson               ;White
1964;Directing                   ;Stanley Kubrick                ;White
1965;Actor                       ;Laurence Olivier               ;White
1965;Actor                       ;Lee Marvin                     ;White
1965;Actor                       ;Oskar Werner                   ;White
1965;Actor                       ;Richard Burton                 ;White
1965;Actor                       ;Rod Steiger                    ;White
1965;Actor in a Supporting Role  ;Frank Finlay                   ;White
1965;Actor in a Supporting Role  ;Ian Bannen                     ;White
1965;Actor in a Supporting Role  ;Martin Balsam                  ;White
1965;Actor in a Supporting Role  ;Michael Dunn                   ;White
1965;Actor in a Supporting Role  ;Tom Courtenay                  ;White
1965;Actress                     ;Elizabeth Hartman              ;White
1965;Actress                     ;Julie Andrews                  ;White
1965;Actress                     ;Julie Christie                 ;White
1965;Actress                     ;Samantha Eggar                 ;White
1965;Actress                     ;Simone Signoret                ;White
1965;Actress in a Supporting Role;Joyce Redman                   ;White
1965;Actress in a Supporting Role;Maggie Smith                   ;White
1965;Actress in a Supporting Role;Peggy Wood                     ;White
1965;Actress in a Supporting Role;Ruth Gordon                    ;White
1965;Actress in a Supporting Role;Shelley Winters                ;White
1965;Directing                   ;David Lean                     ;White
1965;Directing                   ;Hiroshi Teshigahara            ;Asian
1965;Directing                   ;John Schlesinger               ;White
1965;Directing                   ;Robert Wise                    ;White
1965;Directing                   ;William Wyler                  ;White
1966;Actor                       ;Alan Arkin                     ;White
1966;Actor                       ;Michael Caine                  ;White
1966;Actor                       ;Paul Scofield                  ;White
1966;Actor                       ;Richard Burton                 ;White
1966;Actor                       ;Steve McQueen                  ;White
1966;Actor in a Supporting Role  ;George Segal                   ;White
1966;Actor in a Supporting Role  ;James Mason                    ;White
1966;Actor in a Supporting Role  ;Mako                           ;Asian
1966;Actor in a Supporting Role  ;Robert Shaw                    ;White
1966;Actor in a Supporting Role  ;Walter Matthau                 ;White
1966;Actress                     ;Anouk Aimee                    ;White
1966;Actress                     ;Elizabeth Taylor               ;White
1966;Actress                     ;Ida Kaminska                   ;White
1966;Actress                     ;Lynn Redgrave                  ;White
1966;Actress                     ;Vanessa Redgrave               ;White
1966;Actress in a Supporting Role;Geraldine Page                 ;White
1966;Actress in a Supporting Role;Jocelyne Lagarde               ;Indig
1966;Actress in a Supporting Role;Sandy Dennis                   ;White
1966;Actress in a Supporting Role;Vivien Merchant                ;White
1966;Actress in a Supporting Role;Wendy Hiller                   ;White
1966;Directing                   ;Claude Lelouch                 ;White
1966;Directing                   ;Fred Zinnemann                 ;White
1966;Directing                   ;Michelangelo Antonioni         ;White
1966;Directing                   ;Mike Nichols                   ;White
1966;Directing                   ;Richard Brooks                 ;White
1967;Actor                       ;Dustin Hoffman                 ;White
1967;Actor                       ;Paul Newman                    ;White
1967;Actor                       ;Rod Steiger                    ;White
1967;Actor                       ;Spencer Tracy                  ;White
1967;Actor                       ;Warren Beatty                  ;White
1967;Actor in a Supporting Role  ;Cecil Kellaway                 ;White
1967;Actor in a Supporting Role  ;Gene Hackman                   ;White
1967;Actor in a Supporting Role  ;George Kennedy                 ;White
1967;Actor in a Supporting Role  ;John Cassavetes                ;White
1967;Actor in a Supporting Role  ;Michael J. Pollard             ;White
1967;Actress                     ;Anne Bancroft                  ;White
1967;Actress                     ;Audrey Hepburn                 ;White
1967;Actress                     ;Dame Edith Evans               ;White
1967;Actress                     ;Faye Dunaway                   ;White
1967;Actress                     ;Katharine Hepburn              ;White
1967;Actress in a Supporting Role;Beah Richards                  ;Black
1967;Actress in a Supporting Role;Carol Channing                 ;Black
1967;Actress in a Supporting Role;Estelle Parsons                ;White
1967;Actress in a Supporting Role;Katharine Ross                 ;White
1967;Actress in a Supporting Role;Mildred Natwick                ;White
1967;Directing                   ;Arthur Penn                    ;White
1967;Directing                   ;Mike Nichols                   ;White
1967;Directing                   ;Norman Jewison                 ;White
1967;Directing                   ;Richard Brooks                 ;White
1967;Directing                   ;Stanley Kramer                 ;White
1968;Actor                       ;Alan Arkin                     ;White
1968;Actor                       ;Alan Bates                     ;White
1968;Actor                       ;Cliff Robertson                ;White
1968;Actor                       ;Peter O'Toole                  ;White
1968;Actor                       ;Ron Moody                      ;White
1968;Actor in a Supporting Role  ;Daniel Massey                  ;White
1968;Actor in a Supporting Role  ;Gene Wilder                    ;White
1968;Actor in a Supporting Role  ;Jack Albertson                 ;White
1968;Actor in a Supporting Role  ;Jack Wild                      ;White
1968;Actor in a Supporting Role  ;Seymour Cassel                 ;White
1968;Actress                     ;Barbra Streisand               ;White
1968;Actress                     ;Joanne Woodward                ;White
1968;Actress                     ;Katharine Hepburn              ;White
1968;Actress                     ;Patricia Neal                  ;White
1968;Actress                     ;Vanessa Redgrave               ;White
1968;Actress in a Supporting Role;Estelle Parsons                ;White
1968;Actress in a Supporting Role;Kay Medford                    ;White
1968;Actress in a Supporting Role;Lynn Carlin                    ;White
1968;Actress in a Supporting Role;Ruth Gordon                    ;White
1968;Actress in a Supporting Role;Sondra Locke                   ;White
1968;Directing                   ;Anthony Harvey                 ;White
1968;Directing                   ;Carol Reed                     ;White
1968;Directing                   ;Franco Zeffirelli              ;White
1968;Directing                   ;Gillo Pontecorvo               ;White
1968;Directing                   ;Stanley Kubrick                ;White
1969;Actor                       ;Dustin Hoffman                 ;White
1969;Actor                       ;John Wayne                     ;White
1969;Actor                       ;Jon Voight                     ;White
1969;Actor                       ;Peter O'Toole                  ;White
1969;Actor                       ;Richard Burton                 ;White
1969;Actor in a Supporting Role  ;Anthony Quayle                 ;White
1969;Actor in a Supporting Role  ;Elliott Gould                  ;White
1969;Actor in a Supporting Role  ;Gig Young                      ;White
1969;Actor in a Supporting Role  ;Jack Nicholson                 ;White
1969;Actor in a Supporting Role  ;Rupert Crosse                  ;Black
1969;Actress                     ;Genevieve Bujold               ;White
1969;Actress                     ;Jane Fonda                     ;White
1969;Actress                     ;Jean Simmons                   ;White
1969;Actress                     ;Liza Minnelli                  ;White
1969;Actress                     ;Maggie Smith                   ;White
1969;Actress in a Supporting Role;Catherine Burns                ;White
1969;Actress in a Supporting Role;Dyan Cannon                    ;White
1969;Actress in a Supporting Role;Goldie Hawn                    ;White
1969;Actress in a Supporting Role;Susannah York                  ;White
1969;Actress in a Supporting Role;Sylvia Miles                   ;White
1969;Directing                   ;Arthur Penn                    ;White
1969;Directing                   ;Costa-Gavras                   ;White
1969;Directing                   ;George Roy Hill                ;White
1969;Directing                   ;John Schlesinger               ;White
1969;Directing                   ;Sydney Pollack                 ;White
1970;Actor                       ;George C. Scott                ;White
1970;Actor                       ;Jack Nicholson                 ;White
1970;Actor                       ;James Earl Jones               ;Black
1970;Actor                       ;Melvyn Douglas                 ;White
1970;Actor                       ;Ryan O'Neal                    ;White
1970;Actor in a Supporting Role  ;Chief Dan George               ;Indig
1970;Actor in a Supporting Role  ;Gene Hackman                   ;White
1970;Actor in a Supporting Role  ;John Marley                    ;White
1970;Actor in a Supporting Role  ;John Mills                     ;White
1970;Actor in a Supporting Role  ;Richard Castellano             ;White
1970;Actress                     ;Ali MacGraw                    ;White
1970;Actress                     ;Carrie Snodgress               ;White
1970;Actress                     ;Glenda Jackson                 ;White
1970;Actress                     ;Jane Alexander                 ;White
1970;Actress                     ;Sarah Miles                    ;White
1970;Actress in a Supporting Role;Helen Hayes                    ;White
1970;Actress in a Supporting Role;Karen Black                    ;White
1970;Actress in a Supporting Role;Lee Grant                      ;White
1970;Actress in a Supporting Role;Maureen Stapleton              ;White
1970;Actress in a Supporting Role;Sally Kellerman                ;White
1970;Directing                   ;Arthur Hiller                  ;White
1970;Directing                   ;Federico Fellini               ;White
1970;Directing                   ;Franklin J. Schaffner          ;White
1970;Directing                   ;Ken Russell                    ;White
1970;Directing                   ;Robert Altman                  ;White
1971;Actor                       ;Gene Hackman                   ;White
1971;Actor                       ;George C. Scott                ;White
1971;Actor                       ;Peter Finch                    ;White
1971;Actor                       ;Topol                          ;White
1971;Actor                       ;Walter Matthau                 ;White
1971;Actor in a Supporting Role  ;Ben Johnson                    ;White
1971;Actor in a Supporting Role  ;Jeff Bridges                   ;White
1971;Actor in a Supporting Role  ;Leonard Frey                   ;White
1971;Actor in a Supporting Role  ;Richard Jaeckel                ;White
1971;Actor in a Supporting Role  ;Roy Scheider                   ;White
1971;Actress                     ;Glenda Jackson                 ;White
1971;Actress                     ;Jane Fonda                     ;White
1971;Actress                     ;Janet Suzman                   ;White
1971;Actress                     ;Julie Christie                 ;White
1971;Actress                     ;Vanessa Redgrave               ;White
1971;Actress in a Supporting Role;Ann-Margret                    ;White
1971;Actress in a Supporting Role;Barbara Harris                 ;White
1971;Actress in a Supporting Role;Cloris Leachman                ;White
1971;Actress in a Supporting Role;Ellen Burstyn                  ;White
1971;Actress in a Supporting Role;Margaret Leighton              ;White
1971;Directing                   ;John Schlesinger               ;White
1971;Directing                   ;Norman Jewison                 ;White
1971;Directing                   ;Peter Bogdanovich              ;White
1971;Directing                   ;Stanley Kubrick                ;White
1971;Directing                   ;William Friedkin               ;White
1972;Actor                       ;Laurence Olivier               ;White
1972;Actor                       ;Marlon Brando                  ;White
1972;Actor                       ;Michael Caine                  ;White
1972;Actor                       ;Paul Winfield                  ;Black
1972;Actor                       ;Peter O'Toole                  ;White
1972;Actor in a Supporting Role  ;Al Pacino                      ;White
1972;Actor in a Supporting Role  ;Eddie Albert                   ;White
1972;Actor in a Supporting Role  ;James Caan                     ;White
1972;Actor in a Supporting Role  ;Joel Grey                      ;White
1972;Actor in a Supporting Role  ;Robert Duvall                  ;White
1972;Actress                     ;Cicely Tyson                   ;Black
1972;Actress                     ;Diana Ross                     ;Black
1972;Actress                     ;Liv Ullmann                    ;White
1972;Actress                     ;Liza Minnelli                  ;White
1972;Actress                     ;Maggie Smith                   ;White
1972;Actress in a Supporting Role;Eileen Heckart                 ;White
1972;Actress in a Supporting Role;Geraldine Page                 ;White
1972;Actress in a Supporting Role;Jeannie Berlin                 ;White
1972;Actress in a Supporting Role;Shelley Winters                ;White
1972;Actress in a Supporting Role;Susan Tyrrell                  ;White
1972;Directing                   ;Bob Fosse                      ;White
1972;Directing                   ;Francis Ford Coppola           ;White
1972;Directing                   ;Jan Troell                     ;White
1972;Directing                   ;John Boorman                   ;White
1972;Directing                   ;Joseph L. Mankiewicz           ;White
1973;Actor                       ;Al Pacino                      ;White
1973;Actor                       ;Jack Lemmon                    ;White
1973;Actor                       ;Jack Nicholson                 ;White
1973;Actor                       ;Marlon Brando                  ;White
1973;Actor                       ;Robert Redford                 ;White
1973;Actor in a Supporting Role  ;Jack Gilford                   ;White
1973;Actor in a Supporting Role  ;Jason Miller                   ;White
1973;Actor in a Supporting Role  ;John Houseman                  ;White
1973;Actor in a Supporting Role  ;Randy Quaid                    ;White
1973;Actor in a Supporting Role  ;Vincent Gardenia               ;White
1973;Actress                     ;Barbra Streisand               ;White
1973;Actress                     ;Ellen Burstyn                  ;White
1973;Actress                     ;Glenda Jackson                 ;White
1973;Actress                     ;Joanne Woodward                ;White
1973;Actress                     ;Marsha Mason                   ;White
1973;Actress in a Supporting Role;Candy Clark                    ;White
1973;Actress in a Supporting Role;Linda Blair                    ;White
1973;Actress in a Supporting Role;Madeline Kahn                  ;White
1973;Actress in a Supporting Role;Sylvia Sidney                  ;White
1973;Actress in a Supporting Role;Tatum O'Neal                   ;White
1973;Directing                   ;Bernardo Bertolucci            ;White
1973;Directing                   ;George Lucas                   ;White
1973;Directing                   ;George Roy Hill                ;White
1973;Directing                   ;Ingmar Bergman                 ;White
1973;Directing                   ;William Friedkin               ;White
1974;Actor                       ;Al Pacino                      ;White
1974;Actor                       ;Albert Finney                  ;White
1974;Actor                       ;Art Carney                     ;White
1974;Actor                       ;Dustin Hoffman                 ;White
1974;Actor                       ;Jack Nicholson                 ;White
1974;Actor in a Supporting Role  ;Fred Astaire                   ;White
1974;Actor in a Supporting Role  ;Jeff Bridges                   ;White
1974;Actor in a Supporting Role  ;Lee Strasberg                  ;White
1974;Actor in a Supporting Role  ;Michael V. Gazzo               ;White
1974;Actor in a Supporting Role  ;Robert De Niro                 ;White
1974;Actress                     ;Diahann Carroll                ;Black
1974;Actress                     ;Ellen Burstyn                  ;White
1974;Actress                     ;Faye Dunaway                   ;White
1974;Actress                     ;Gena Rowlands                  ;White
1974;Actress                     ;Valerie Perrine                ;White
1974;Actress in a Supporting Role;Diane Ladd                     ;White
1974;Actress in a Supporting Role;Ingrid Bergman                 ;White
1974;Actress in a Supporting Role;Madeline Kahn                  ;White
1974;Actress in a Supporting Role;Talia Shire                    ;White
1974;Actress in a Supporting Role;Valentina Cortese              ;White
1974;Directing                   ;Bob Fosse                      ;White
1974;Directing                   ;Francis Ford Coppola           ;White
1974;Directing                   ;Francois Truffaut              ;White
1974;Directing                   ;John Cassavetes                ;White
1974;Directing                   ;Roman Polanski                 ;White
1975;Actor                       ;Al Pacino                      ;White
1975;Actor                       ;Jack Nicholson                 ;White
1975;Actor                       ;James Whitmore                 ;White
1975;Actor                       ;Maximilian Schell              ;White
1975;Actor                       ;Walter Matthau                 ;White
1975;Actor in a Supporting Role  ;Brad Dourif                    ;White
1975;Actor in a Supporting Role  ;Burgess Meredith               ;White
1975;Actor in a Supporting Role  ;Chris Sarandon                 ;White
1975;Actor in a Supporting Role  ;George Burns                   ;White
1975;Actor in a Supporting Role  ;Jack Warden                    ;White
1975;Actress                     ;Ann-Margret                    ;White
1975;Actress                     ;Carol Kane                     ;White
1975;Actress                     ;Glenda Jackson                 ;White
1975;Actress                     ;Isabelle Adjani                ;Arab 
1975;Actress                     ;Louise Fletcher                ;White
1975;Actress in a Supporting Role;Brenda Vaccaro                 ;White
1975;Actress in a Supporting Role;Lee Grant                      ;White
1975;Actress in a Supporting Role;Lily Tomlin                    ;White
1975;Actress in a Supporting Role;Ronee Blakley                  ;White
1975;Actress in a Supporting Role;Sylvia Miles                   ;White
1975;Directing                   ;Federico Fellini               ;White
1975;Directing                   ;Milos Forman                   ;White
1975;Directing                   ;Robert Altman                  ;White
