Year;Award;Winner;Film;Name
1948;Directing                   ;1;The Treasure of the Sierra Madr;John Huston                                               
1949;Directing                   ;;All the King's Men             ;Robert Rossen                                             
1949;Directing                   ;;Battleground                   ;William A. Wellman                                        
1949;Directing                   ;;The Fallen Idol                ;Carol Reed                                                
1949;Directing                   ;;The Heiress                    ;William Wyler                                             
1949;Directing                   ;1;A Letter to Three Wives        ;Joseph L. Mankiewicz                                      
1950;Directing                   ;1;All about Eve                  ;Joseph L. Mankiewicz                                      
1950;Directing                   ;;The Asphalt Jungle             ;John Huston                                               
1950;Directing                   ;;Born Yesterday                 ;George Cukor                                              
1950;Directing                   ;;Sunset Blvd.                   ;Billy Wilder                                              
1950;Directing                   ;;The Third Man                  ;Carol Reed                                                
1951;Directing                   ;;The African Queen              ;John Huston                                               
1951;Directing                   ;;An American in Paris           ;Vincente Minnelli                                         
1951;Directing                   ;;Detective Story                ;William Wyler                                             
1951;Directing                   ;1;A Place in the Sun             ;George Stevens                                            
1951;Directing                   ;;A Streetcar Named Desire       ;Elia Kazan                                                
1952;Directing                   ;;Five Fingers                   ;Joseph L. Mankiewicz                                      
1952;Directing                   ;;The Greatest Show on Earth     ;Cecil B. DeMille                                          
1952;Directing                   ;;High Noon                      ;Fred Zinnemann                                            
1952;Directing                   ;;Moulin Rouge                   ;John Huston                                               
1952;Directing                   ;1;The Quiet Man                  ;John Ford                                                 
1953;Directing                   ;1;From Here to Eternity          ;Fred Zinnemann                                            
1953;Directing                   ;;Lili                           ;Charles Walters                                           
1953;Directing                   ;;Roman Holiday                  ;William Wyler                                             
1953;Directing                   ;;Shane                          ;George Stevens                                            
1953;Directing                   ;;Stalag 17                      ;Billy Wilder                                              
1954;Directing                   ;;The Country Girl               ;George Seaton                                             
1954;Directing                   ;;The High and the Mighty        ;William Wellman                                           
1954;Directing                   ;1;On the Waterfront              ;Elia Kazan                                                
1954;Directing                   ;;Rear Window                    ;Alfred Hitchcock                                          
1954;Directing                   ;;Sabrina                        ;Billy Wilder                                              
1955;Directing                   ;;Bad Day at Black Rock          ;John Sturges                                              
1955;Directing                   ;;East of Eden                   ;Elia Kazan                                                
1955;Directing                   ;1;Marty                          ;Delbert Mann                                              
1955;Directing                   ;;Picnic                         ;Joshua Logan                                              
1955;Directing                   ;;Summertime                     ;David Lean                                                
1956;Directing                   ;;Around the World in 80 Days    ;Michael Anderson                                          
1956;Directing                   ;;Friendly Persuasion            ;William Wyler                                             
1956;Directing                   ;1;Giant                          ;George Stevens                                            
1956;Directing                   ;;The King and I                 ;Walter Lang                                               
1956;Directing                   ;;War and Peace                  ;King Vidor                                                
1957;Directing                   ;1;The Bridge on the River Kwai   ;David Lean                                                
1957;Directing                   ;;Peyton Place                   ;Mark Robson                                               
1957;Directing                   ;;Sayonara                       ;Joshua Logan                                              
1957;Directing                   ;;12 Angry Men                   ;Sidney Lumet                                              
1957;Directing                   ;;Witness for the Prosecution    ;Billy Wilder                                              
1958;Directing                   ;;Cat on a Hot Tin Roof          ;Richard Brooks                                            
1958;Directing                   ;;The Defiant Ones               ;Stanley Kramer                                            
1958;Directing                   ;1;Gigi                           ;Vincente Minnelli                                         
1958;Directing                   ;;I Want to Live!                ;Robert Wise                                               
1958;Directing                   ;;The Inn of the Sixth Happiness ;Mark Robson                                               
1959;Directing                   ;1;Ben-Hur                        ;William Wyler                                             
1959;Directing                   ;;The Diary of Anne Frank        ;George Stevens                                            
1959;Directing                   ;;The Nun's Story                ;Fred Zinnemann                                            
1959;Directing                   ;;Room at the Top                ;Jack Clayton                                              
1959;Directing                   ;;Some Like It Hot               ;Billy Wilder                                              
1960;Directing                   ;1;The Apartment                  ;Billy Wilder                                              
1960;Directing                   ;;Never on Sunday                ;Jules Dassin                                              
1960;Directing                   ;;Psycho                         ;Alfred Hitchcock                                          
1960;Directing                   ;;Sons and Lovers                ;Jack Cardiff                                              
1960;Directing                   ;;The Sundowners                 ;Fred Zinnemann                                            
1961;Directing                   ;;The Guns of Navarone           ;J. Lee Thompson                                           
1961;Directing                   ;;The Hustler                    ;Robert Rossen                                             
1961;Directing                   ;;Judgment at Nuremberg          ;Stanley Kramer                                            
1961;Directing                   ;;La Dolce Vita                  ;Federico Fellini                                          
1961;Directing                   ;1;West Side Story                ;Robert Wise, Jerome Robbins                               
1962;Directing                   ;;David and Lisa                 ;Frank Perry                                               
1962;Directing                   ;;Divorce--Italian Style         ;Pietro Germi                                              
1962;Directing                   ;1;Lawrence of Arabia             ;David Lean                                                
1962;Directing                   ;;The Miracle Worker             ;Arthur Penn                                               
1962;Directing                   ;;To Kill a Mockingbird          ;Robert Mulligan                                           
1963;Directing                   ;;America America                ;Elia Kazan                                                
1963;Directing                   ;;The Cardinal                   ;Otto Preminger                                            
1963;Directing                   ;;Federico Fellini's 8-1/2       ;Federico Fellini                                          
1963;Directing                   ;;Hud                            ;Martin Ritt                                               
1963;Directing                   ;1;Tom Jones                      ;Tony Richardson                                           
1964;Directing                   ;;Becket                         ;Peter Glenville                                           
1964;Directing                   ;;Dr. Strangelove or: How I Learn;Stanley Kubrick                                           
1964;Directing                   ;;Mary Poppins                   ;Robert Stevenson                                          
1964;Directing                   ;1;My Fair Lady                   ;George Cukor                                              
1964;Directing                   ;;Zorba the Greek                ;Michael Cacoyannis                                        
1965;Directing                   ;;The Collector                  ;William Wyler                                             
1965;Directing                   ;;Darling                        ;John Schlesinger                                          
1965;Directing                   ;;Doctor Zhivago                 ;David Lean                                                
1965;Directing                   ;1;The Sound of Music             ;Robert Wise                                               
1965;Directing                   ;;Woman in the Dunes             ;Hiroshi Teshigahara                                       
1966;Directing                   ;;Blow-Up                        ;Michelangelo Antonioni                                    
1966;Directing                   ;;A Man and a Woman              ;Claude Lelouch                                            
1966;Directing                   ;1;A Man for All Seasons          ;Fred Zinnemann                                            
1966;Directing                   ;;The Professionals              ;Richard Brooks                                            
1966;Directing                   ;;Who's Afraid of Virginia Woolf?;Mike Nichols                                              
1967;Directing                   ;;Bonnie and Clyde               ;Arthur Penn                                               
1967;Directing                   ;1;The Graduate                   ;Mike Nichols                                              
1967;Directing                   ;;Guess Who's Coming to Dinner   ;Stanley Kramer                                            
1967;Directing                   ;;In Cold Blood                  ;Richard Brooks                                            
1967;Directing                   ;;In the Heat of the Night       ;Norman Jewison                                            
1968;Directing                   ;;The Battle of Algiers          ;Gillo Pontecorvo                                          
1968;Directing                   ;;The Lion in Winter             ;Anthony Harvey                                            
1968;Directing                   ;1;Oliver!                        ;Carol Reed                                                
1968;Directing                   ;;Romeo and Juliet               ;Franco Zeffirelli                                         
1968;Directing                   ;;2001: A Space Odyssey          ;Stanley Kubrick                                           
1969;Directing                   ;;Alice's Restaurant             ;Arthur Penn                                               
1969;Directing                   ;;Butch Cassidy and the Sundance ;George Roy Hill                                           
1969;Directing                   ;1;Midnight Cowboy                ;John Schlesinger                                          
1969;Directing                   ;;They Shoot Horses, Don't They? ;Sydney Pollack                                            
1969;Directing                   ;;Z                              ;Costa-Gavras                                              
1970;Directing                   ;;Fellini Satyricon              ;Federico Fellini                                          
1970;Directing                   ;;Love Story                     ;Arthur Hiller                                             
1970;Directing                   ;1;MA*S*H                         ;Robert Altman                                             
1970;Directing                   ;1;Patton                         ;Franklin J. Schaffner                                     
1970;Directing                   ;;Women in Love                  ;Ken Russell                                               
1971;Directing                   ;;A Clockwork Orange             ;Stanley Kubrick                                           
1971;Directing                   ;;Fiddler on the Roof            ;Norman Jewison                                            
1971;Directing                   ;1;The French Connection          ;William Friedkin                                          
1971;Directing                   ;;The Last Picture Show          ;Peter Bogdanovich                                         
1971;Directing                   ;;Sunday Bloody Sunday           ;John Schlesinger                                          
1972;Directing                   ;1;Cabaret                        ;Bob Fosse                                                 
1972;Directing                   ;;Deliverance                    ;John Boorman                                              
1972;Directing                   ;;The Emigrants                  ;Jan Troell                                                
1972;Directing                   ;;The Godfather                  ;Francis Ford Coppola                                      
1972;Directing                   ;;Sleuth                         ;Joseph L. Mankiewicz                                      
1973;Directing                   ;;American Graffiti              ;George Lucas                                              
1973;Directing                   ;;Cries and Whispers             ;Ingmar Bergman                                            
