Year;Award;Winner;Film;Name
2014;Directing                   ;1;Birdman or (The Unexpected Virt;Alejandro G. Iñárritu                                   
2014;Directing                   ;;Boyhood                        ;Richard Linklater                                         
2014;Directing                   ;;Foxcatcher                     ;Bennett Miller                                            
2014;Directing                   ;;The Grand Budapest Hotel       ;Wes Anderson                                              
2014;Directing                   ;;The Imitation Game             ;Morten Tyldum                                             
2015;Directing                   ;;The Big Short                  ;Adam McKay                                                
2015;Directing                   ;;Mad Max: Fury Road             ;George Miller                                             
2015;Directing                   ;1;The Revenant                   ;Alejandro G. Iñárritu                                   
2015;Directing                   ;;Room                           ;Lenny Abrahamson                                          
2015;Directing                   ;;Spotlight                      ;Tom McCarthy                                              
