"Academy Award for Best Animated Short Film","Academy Award for Best Animated Short Film","Academy Award for Best Animated Short Film","Academy Award for Best Animated Short Film","Academy Award for Best Animated Short Film","Academy Award for Best Animated Short Film","Academy Award for Best Animated Short Film"
"Year","Name","Film","Status","Milestone","Demographic","Reference"
"1969","Ryan Larkin","Walking","Nominated","","Bisexual",""
"2003","Adam Elliot","Harvie Krumpet","Won","","Gay",""
