year,orientation,ethnicity,winner,ratio,party
1930,Straight,Hispanic,0,0,Republican
1930,Straight,White,0,93.3,Republican
1930,Straight,Asian,1,0,Republican
1930,Straight,Black,1,0,Republican
1930,Straight,Hispanic,1,0,Republican
1930,Straight,White,1,100,Republican
1930,Straight,Asian,2,0,Republican
1930,Straight,Black,2,0,Republican
1930,Straight,Hispanic,2,0,Republican
1930,Straight,White,2,94.4,Republican
1931,Bisexual,Asian,0,0,Republican
1931,Bisexual,Black,0,0,Republican
1931,Bisexual,Hispanic,0,0,Republican
1931,Bisexual,White,0,0,Republican
1931,Bisexual,Asian,1,0,Republican
1931,Bisexual,Black,1,0,Republican
1931,Bisexual,Hispanic,1,0,Republican
1931,Bisexual,White,1,0,Republican
1931,Bisexual,Asian,2,0,Republican
1931,Bisexual,Black,2,0,Republican
1931,Bisexual,Hispanic,2,0,Republican
1931,Bisexual,White,2,0,Republican
1931,Gay     ,Asian,0,0,Republican
1931,Gay     ,Black,0,0,Republican
1931,Gay     ,Hispanic,0,0,Republican
1931,Gay     ,White,0,0,Republican
1931,Gay     ,Asian,1,0,Republican
1931,Gay     ,Black,1,0,Republican
1931,Gay     ,Hispanic,1,0,Republican
1931,Gay     ,White,1,0,Republican
1931,Gay     ,Asian,2,0,Republican
1931,Gay     ,Black,2,0,Republican
1931,Gay     ,Hispanic,2,0,Republican
1931,Gay     ,White,2,0,Republican
1931,Lesbian ,Asian,0,0,Republican
1931,Lesbian ,Black,0,0,Republican
1931,Lesbian ,Hispanic,0,0,Republican
1931,Lesbian ,White,0,0,Republican
1931,Lesbian ,Asian,1,0,Republican
1931,Lesbian ,Black,1,0,Republican
1931,Lesbian ,Hispanic,1,0,Republican
1931,Lesbian ,White,1,0,Republican
1931,Lesbian ,Asian,2,0,Republican
1931,Lesbian ,Black,2,0,Republican
1931,Lesbian ,Hispanic,2,0,Republican
1931,Lesbian ,White,2,0,Republican
1931,Straight,Asian,0,0,Republican
1931,Straight,Black,0,0,Republican
1931,Straight,Hispanic,0,0,Republican
1931,Straight,White,0,100,Republican
1931,Straight,Asian,1,0,Republican
1931,Straight,Black,1,0,Republican
1931,Straight,Hispanic,1,0,Republican
1931,Straight,White,1,100,Republican
1931,Straight,Asian,2,0,Republican
1931,Straight,Black,2,0,Republican
1931,Straight,Hispanic,2,0,Republican
1931,Straight,White,2,100,Republican
1932,Bisexual,Asian,0,0,Republican
1932,Bisexual,Black,0,0,Republican
1932,Bisexual,Hispanic,0,0,Republican
1932,Bisexual,White,0,0,Republican
1932,Bisexual,Asian,1,0,Republican
1932,Bisexual,Black,1,0,Republican
1932,Bisexual,Hispanic,1,0,Republican
1932,Bisexual,White,1,0,Republican
1932,Bisexual,Asian,2,0,Republican
1932,Bisexual,Black,2,0,Republican
1932,Bisexual,Hispanic,2,0,Republican
1932,Bisexual,White,2,0,Republican
1932,Gay     ,Asian,0,0,Republican
1932,Gay     ,Black,0,0,Republican
1932,Gay     ,Hispanic,0,0,Republican
1932,Gay     ,White,0,0,Republican
1932,Gay     ,Asian,1,0,Republican
1932,Gay     ,Black,1,0,Republican
1932,Gay     ,Hispanic,1,0,Republican
1932,Gay     ,White,1,0,Republican
1932,Gay     ,Asian,2,0,Republican
1932,Gay     ,Black,2,0,Republican
1932,Gay     ,Hispanic,2,0,Republican
1932,Gay     ,White,2,0,Republican
1932,Lesbian ,Asian,0,0,Republican
1932,Lesbian ,Black,0,0,Republican
1932,Lesbian ,Hispanic,0,0,Republican
1932,Lesbian ,White,0,0,Republican
1932,Lesbian ,Asian,1,0,Republican
1932,Lesbian ,Black,1,0,Republican
1932,Lesbian ,Hispanic,1,0,Republican
1932,Lesbian ,White,1,0,Republican
1932,Lesbian ,Asian,2,0,Republican
1932,Lesbian ,Black,2,0,Republican
1932,Lesbian ,Hispanic,2,0,Republican
1932,Lesbian ,White,2,0,Republican
1932,Straight,Asian,0,0,Republican
1932,Straight,Black,0,0,Republican
1932,Straight,Hispanic,0,0,Republican
1932,Straight,White,0,100,Republican
1932,Straight,Asian,1,0,Republican
1932,Straight,Black,1,0,Republican
1932,Straight,Hispanic,1,0,Republican
1932,Straight,White,1,100,Republican
1932,Straight,Asian,2,0,Republican
1932,Straight,Black,2,0,Republican
1932,Straight,Hispanic,2,0,Republican
1932,Straight,White,2,100,Republican
1933,Bisexual,Asian,0,0,Democratic
1933,Bisexual,Black,0,0,Democratic
1933,Bisexual,Hispanic,0,0,Democratic
1933,Bisexual,White,0,0,Democratic
1933,Bisexual,Asian,1,0,Democratic
1933,Bisexual,Black,1,0,Democratic
1933,Bisexual,Hispanic,1,0,Democratic
1933,Bisexual,White,1,0,Democratic
1933,Bisexual,Asian,2,0,Democratic
1933,Bisexual,Black,2,0,Democratic
1933,Bisexual,Hispanic,2,0,Democratic
1933,Bisexual,White,2,0,Democratic
1933,Gay     ,Asian,0,0,Democratic
1933,Gay     ,Black,0,0,Democratic
1933,Gay     ,Hispanic,0,0,Democratic
1933,Gay     ,White,0,6.7,Democratic
1933,Gay     ,Asian,1,0,Democratic
1933,Gay     ,Black,1,0,Democratic
1933,Gay     ,Hispanic,1,0,Democratic
1933,Gay     ,White,1,0,Democratic
1933,Gay     ,Asian,2,0,Democratic
1933,Gay     ,Black,2,0,Democratic
1933,Gay     ,Hispanic,2,0,Democratic
1933,Gay     ,White,2,5.56,Democratic
1933,Lesbian ,Asian,0,0,Democratic
1933,Lesbian ,Black,0,0,Democratic
1933,Lesbian ,Hispanic,0,0,Democratic
1933,Lesbian ,White,0,0,Democratic
1933,Lesbian ,Asian,1,0,Democratic
1933,Lesbian ,Black,1,0,Democratic
1933,Lesbian ,Hispanic,1,0,Democratic
1933,Lesbian ,White,1,0,Democratic
1933,Lesbian ,Asian,2,0,Democratic
1933,Lesbian ,Black,2,0,Democratic
1933,Lesbian ,Hispanic,2,0,Democratic
1933,Lesbian ,White,2,0,Democratic
1933,Straight,Asian,0,0,Democratic
1933,Straight,Black,0,0,Democratic
1933,Straight,Hispanic,0,0,Democratic
1933,Straight,White,0,93.3,Democratic
1933,Straight,Asian,1,0,Democratic
1933,Straight,Black,1,0,Democratic
1933,Straight,Hispanic,1,0,Democratic
1933,Straight,White,1,100,Democratic
1933,Straight,Asian,2,0,Democratic
1933,Straight,Black,2,0,Democratic
1933,Straight,Hispanic,2,0,Democratic
1933,Straight,White,2,94.4,Democratic
1934,Bisexual,Asian,0,0,Democratic
1934,Bisexual,Black,0,0,Democratic
1934,Bisexual,Hispanic,0,0,Democratic
1934,Bisexual,White,0,0,Democratic
1934,Bisexual,Asian,1,0,Democratic
1934,Bisexual,Black,1,0,Democratic
1934,Bisexual,Hispanic,1,0,Democratic
1934,Bisexual,White,1,0,Democratic
1934,Bisexual,Asian,2,0,Democratic
1934,Bisexual,Black,2,0,Democratic
1934,Bisexual,Hispanic,2,0,Democratic
1934,Bisexual,White,2,0,Democratic
1934,Gay     ,Asian,0,0,Democratic
1934,Gay     ,Black,0,0,Democratic
1934,Gay     ,Hispanic,0,0,Democratic
1934,Gay     ,White,0,0,Democratic
1934,Gay     ,Asian,1,0,Democratic
1934,Gay     ,Black,1,0,Democratic
1934,Gay     ,Hispanic,1,0,Democratic
1934,Gay     ,White,1,0,Democratic
1934,Gay     ,Asian,2,0,Democratic
1934,Gay     ,Black,2,0,Democratic
1934,Gay     ,Hispanic,2,0,Democratic
1934,Gay     ,White,2,0,Democratic
1934,Lesbian ,Asian,0,0,Democratic
1934,Lesbian ,Black,0,0,Democratic
1934,Lesbian ,Hispanic,0,0,Democratic
1934,Lesbian ,White,0,0,Democratic
1934,Lesbian ,Asian,1,0,Democratic
1934,Lesbian ,Black,1,0,Democratic
1934,Lesbian ,Hispanic,1,0,Democratic
1934,Lesbian ,White,1,0,Democratic
1934,Lesbian ,Asian,2,0,Democratic
1934,Lesbian ,Black,2,0,Democratic
1934,Lesbian ,Hispanic,2,0,Democratic
1934,Lesbian ,White,2,0,Democratic
1934,Straight,Asian,0,0,Democratic
1934,Straight,Black,0,0,Democratic
1934,Straight,Hispanic,0,0,Democratic
